code,updated_at,roe,gross_margin,debt_ratio,revenue_growth,profit_growth
688511,2026-04-22,2.7,,7.8824,,-18.147
688279,2026-04-22,8.3,,16.9352,,9.1713
688172,2026-04-22,2.93,,21.7824,,29.1108
300018,2026-04-22,-2.0,,10.7412,,-108.6577
920207,2026-04-22,0.35,,55.8818,,-6.8351
300981,2026-04-22,0.93,,8.124,,-95.6135
000938,2026-04-22,1.23,,45.2606,,35.7601
600816,2026-04-22,-683.65,,97.1354,,41.9809
002429,2026-04-22,2.66,,44.3474,,-26.6909
688062,2026-04-22,-5.31,,13.8136,,
688138,2026-04-22,1.1,,21.0796,,5.0273
300518,2026-04-22,0.63,,27.1471,,20.9059
688028,2026-04-22,0.82,,6.8176,,-55.6767
688307,2026-04-22,5.53,,38.3706,,114.4926
301611,2026-04-22,7.61,,27.8657,,38.9744
688253,2026-04-22,3.45,,7.4915,,-61.8039
601869,2026-04-22,2.04,,49.3649,,141.5711
301603,2026-04-22,11.3,,48.3034,,-17.6894
920651,2026-04-22,7.58,,39.4701,,-21.3972
300147,2026-04-22,-1.88,,66.7362,,-230.0109
600206,2026-04-22,2.95,,26.6749,,75.2463
688521,2026-04-22,0.12,,28.8356,,455.3135
603901,2026-04-22,2.57,,53.0473,,11.5519
688001,2026-04-22,1.14,,30.0488,,44.9191
300082,2026-04-22,2.81,,44.6713,,90.6359
300502,2026-04-22,3.24,,18.2845,,17.8077
301057,2026-04-22,2.02,,11.0568,,-18.5287
688252,2026-04-22,14.02,,21.8959,,-9.1713
301236,2026-04-22,1.0,,36.4969,,21.7232
688335,2026-04-22,1.58,,22.3424,,17.882
002990,2026-04-22,2.43,,30.2918,,49.0916
300909,2026-04-22,1.9,,18.519,,1.216
301022,2026-04-22,1.43,,32.0001,,22.747
605077,2026-04-22,2.02,,22.8816,,-2.2126
300209,2026-04-22,-6.71,,70.2676,,
600522,2026-04-22,3.64,,40.1167,,96.552
603950,2026-04-22,2.35,,39.5195,,-47.316
600638,2026-04-22,0.12,,78.9005,,-85.8206
002237,2026-04-22,1.52,,64.4826,,-8.8716
300166,2026-04-22,0.6,,15.522,,-37.0017
600338,2026-04-22,3.07,,34.8733,,-62.9314
688362,2026-04-22,7.69,,71.0328,,165.0317
688234,2026-04-22,-0.81,,6.8644,,-283.2013
688313,2026-04-22,1.86,,24.1004,,224.0549
301310,2026-04-22,5.55,,70.6243,,24.8446
001212,2026-04-22,1.28,,11.8476,,-38.2543
601126,2026-04-22,3.22,,45.6691,,38.3497
300696,2026-04-22,3.73,,9.4659,,40.947
603629,2026-04-22,1.06,,45.6441,,163.7976
603112,2026-04-22,4.34,,48.717,,35.9317
920036,2026-04-22,6.12,,52.9053,,912.515
688361,2026-04-22,-3.68,,58.8015,,-78.0191
688558,2026-04-22,2.94,,27.0573,,20.4269
300620,2026-04-22,1.47,,13.3368,,-7.5553
688352,2026-04-22,5.84,,35.8474,,-2.1421
300395,2026-04-22,3.51,,19.8059,,22.1994
600552,2026-04-22,0.94,,58.6144,,51.5209
002297,2026-04-22,0.48,,21.639,,70.8828
603083,2026-04-22,-6.54,,57.2095,,-489.5166
300184,2026-04-22,3.02,,35.905,,44.7296
002975,2026-04-22,2.82,,30.8813,,-43.4234
002531,2026-04-22,0.42,,50.3172,,-93.7346
600673,2026-04-22,3.21,,59.6267,,1417.0449
000960,2026-04-22,7.26,,56.356,,245.73
603308,2026-04-22,1.66,,57.2736,,26.4533
300322,2026-04-22,0.2,,50.5439,,-67.7981
301198,2026-04-22,1.46,,9.1778,,14.2042
